Date,Result,Hours,Open,Title,Type,emoji10,emoji11,emoji12,emoji13,emoji14,emoji15,emoji16,emoji17,emoji6,emoji7,emoji8,emoji9,Person1,Person2,Person3,Person4,Person5,Person6,Description
2023-05-16,4,3,7,Visualization definition,Concept Development,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"We defined the requirements of our visualization of the data we collect. We checked out some programs and made a plan of approach to do this, and with what program."
2023-05-15,4,1,5,Documenting data,Organization,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,We have started to use our benchmark cards to document data for the project
2023-05-15,5,6,11,Making website benchmark,Prototype Building,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Together we finished the website building of the cards. Some struggles
2023-05-15,4,0.25,4.25,Sending ERB,Testing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Sending the signed ERB form to the Ethical Review Board to be approved.
2023-05-13,5,1,6,Meeting,Organization,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,We had a small unorganized meeting on what we would present to mathias
2023-05-12,5,0.5,5.5,Coach meeting,Evaluating,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Coach meeting with Mathias again, was very nice he was happy with what we did!"
2023-05-12,3,1,4,Signign ERB,Testing,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Changing the ERB to fit the new set-up of data collection. Making sure that the document is signed and that the PDF is correct. Sending the PDF to Mathias. 
2023-05-12,5,3,8,Starting the data collector,Prototype Building,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,We started programming the data collector tool in P5js. We started working in Github too.
2023-05-12,5,1,6,Finding participants,Testing,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Messaging and talking to people I know in order to get them to participate in the final test. 
2023-05-11,4,2,6,Researching Analytic Induction,Background Research,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Looking into Analytic Induction in order to see if it works for the way we analyzed the workshop.
2023-05-10,2,2.5,4.5,Making the ERB for the datacollection,Testing,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Filling out the ERB for the data collection in the final weeks. 
2023-05-10,3,3,6,Making the data cards,Brainstorm / Ideate,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,We worked on the benchmark cards in miro
2023-05-10,2,1,3,Participant informed consent form,Testing,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Creating and rewriting the participant informed consent form for the data collection. Proofreading the document to make sure it i correct 
2023-05-09,4,2,6,MVP,Concept Definition,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,We defined the MVP of our project. What are the minimal requirements and what are more 'nice to haves'. This was a n idea of Nick that we got in our last meeting with him.
2023-05-09,4,1,5,MVP,Prototype Building,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,We filled in the MVP to determine what to start collecting data wise
2023-04-26,5,4,9,Workshop,Validating,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,We did two sessions of workshops that we designed before.
2023-04-25,4,2,6,Pilot study,Evaluating,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Pilot study of our workshop, with two participants"
2023-04-25,4,1,5,Reflecting on pilot study,Evaluating,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Reflecting on the pilot study we did and making some changes accordingly. Mostly in the Menti meter.
2023-04-21,4,3,7,Making the menti,Prototype Building,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Making the menti for the pilot study
2023-04-20,4,1,5,Coach meeting Nick 1,Validating,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"We discussed with Nick our workshop approach. He looked at our setup and gave some feedback, but overall said it looked okay for what we want to research. Nick highly suggested to do a pilot study."
2023-04-16,4,1,5,Presentation making,Prototype Building,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,For the study/workshop we made a presentation to show. It contains the questions of the workshop.
2023-04-05,4,3,7,Working on the workshop protocol ,Analyzing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Working on making the workshop protocol, as to make sure that the working of the protocol has been typed out.Came as far as the setup of the workshop"
2023-03-24,4,4,8,midterm demo day,Organization,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2023-03-21,4,4,8,Visual demonstrator  (our project),Validating,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
2023-03-21,4,4,8,Technical demonstrator,Validating,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
2023-03-17,4,2,6,coach session,Concept Development,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,discuss the cocept
2023-03-14,3,2,5,decide the topic,Brainstorm / Ideate,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,decide the topic AI for Creative Collaborations and explore in facilitating iterative collaboration
2023-03-14,5,4,9,scoping the design concept,Concept Definition,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,define input & output
2023-03-10,4,3,7,coach session,Organization,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,PDP 
2023-03-08,5,4,9,luke workshop: prototyping everyday AI,Prototype Building,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,4 lofi concept 
2023-03-07,4,4,8,workshop: Short design sessions with observer,Prototype Building,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,knowledge\ncollaboration\nprototype\nevaluation
2023-03-05,5,1,6,Meeting with Nick 2,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"We discussed the results of our study with Nick. We talked about our next steps. Nick suggested to make an MVP and that it would be a good idea to start tracking different project groups and collect data. He also said we should document the study very well, because the results are interesting."
